Census Block,#Businesses with liquor licenses,#Crimes,#Arrests
2003,3,1000,140
1004,1,1000,113
2048,7,0,0
1017,4,1000,213
1020,7,1000,219
1019,2,1000,182
3002,3,0,0
4001,3,1000,141
2013,6,1000,95
1011,4,1000,184
2032,3,1000,64
1059,2,1000,89
1055,2,1000,57
1087,1,1000,74
1060,1,1000,64
2002,3,1000,148
1033,1,1000,97
1105,1,1000,154
2017,4,1000,135
1007,1,1000,263
1063,1,1000,77
1001,3,1000,147
1008,7,1000,53
1018,3,1000,232
2023,2,1000,219
2012,4,1000,125
1010,5,1000,235
2007,3,1000,118
3008,3,1000,84
1072,1,1000,70
1038,1,1000,138
1091,1,1000,226
2027,1,1000,208
1056,1,1000,66
1015,1,1000,140
1096,2,1000,96
1036,4,1000,217
5026,1,0,0
1057,1,1000,105
1066,3,1000,216
3007,1,1000,131
1102,1,1000,235
3012,1,1000,168
3009,3,0,0
2026,1,1000,177
1006,1,1000,134
5133,1,0,0
2000,3,1000,215
2034,1,1000,76
2030,2,1000,118
2021,1,1000,172
1078,1,1000,211
1003,1,1000,237
1093,1,1000,131
2014,2,1000,149
5048,1,0,0
2005,2,1000,136
3011,1,1000,96
1002,1,838,47
1009,1,1000,235
1104,1,1000,212
4003,1,1000,115
1073,1,1000,96
1042,2,1000,104
1088,1,1000,193
1071,1,1000,69
3000,1,786,86
2028,1,1000,167
3005,1,1000,167
2049,1,0,0
4002,1,1000,155
1095,1,1000,72
1106,1,1000,121
1086,1,1000,71
2006,1,1000,131
1035,1,1000,227
1103,1,1000,224
1107,1,1000,108
1041,1,1000,200
2001,1,1000,74
